年份,始发城市,始发城市所属省份,始发城市代码,终点城市,终点城市所属省份,终点城市代码,年度迁徙意愿指数,年度实际迁徙指数
2018.0,广州,广东省,440100.0,赣州,江西省,360700.0,195.9319444,67.77611111
2018.0,广州,广东省,440100.0,梅州,广东省,441400.0,259.4708333,68.37222222
2018.0,广州,广东省,440100.0,湛江,广东省,440800.0,308.5358333,69.04194444
2018.0,广州,广东省,440100.0,茂名,广东省,440900.0,342.02,84.57694444
2019.0,广州,广东省,440100.0,赣州,江西省,360700.0,378.5855556,151.43
2019.0,广州,广东省,440100.0,梅州,广东省,441400.0,513.4352778,154.8961111
2019.0,广州,广东省,440100.0,湛江,广东省,440800.0,634.3219444,171.1211111
2019.0,广州,广东省,440100.0,茂名,广东省,440900.0,667.7886111,198.4875
2020.0,广州,广东省,440100.0,梅州,广东省,441400.0,588.6186111,185.9963889
2020.0,广州,广东省,440100.0,赣州,江西省,360700.0,435.7869444,190.8877778
2020.0,广州,广东省,440100.0,湛江,广东省,440800.0,770.4791667,217.1655556
2020.0,广州,广东省,440100.0,茂名,广东省,440900.0,791.3972222,254.3477778
2021.0,广州,广东省,440100.0,赣州,江西省,360700.0,461.6447222,190.0530556
2021.0,广州,广东省,440100.0,揭阳,广东省,445200.0,604.7475,195.5438889
2021.0,广州,广东省,440100.0,湛江,广东省,440800.0,883.4852778,217.1002778
2021.0,广州,广东省,440100.0,茂名,广东省,440900.0,921.4880556,259.8002778
2022.0,广州,广东省,440100.0,赣州,江西省,360700.0,475.7569444,169.3894444
2022.0,广州,广东省,440100.0,揭阳,广东省,445200.0,663.0347222,189.075
2022.0,广州,广东省,440100.0,湛江,广东省,440800.0,943.725,206.2658333
2022.0,广州,广东省,440100.0,茂名,广东省,440900.0,969.3175,251.0119444
2023.0,广州,广东省,440100.0,赣州,江西省,360700.0,773.5811111,236.1858333
2023.0,广州,广东省,440100.0,揭阳,广东省,445200.0,1045.901667,236.6783333
2023.0,广州,广东省,440100.0,湛江,广东省,440800.0,1525.089444,274.2611111
2023.0,广州,广东省,440100.0,茂名,广东省,440900.0,1600.993056,337.1802778
